source_id,company,vendor,kind,filename,raw_rel_path,status,compiled_into,notes
gemini-3,local,HIBS,markdown,3.md,../HIBS/gemini/3.md,compiled,docs/wiki/theory-hidden-space-physics.md,"离散因果图、度规/相位涌现与核空间猜想"
gemini-4,local,HIBS,markdown,4.md,../HIBS/gemini/4.md,compiled,docs/wiki/theory-hidden-space-physics.md,"核平移规范、Clifford/旋量与质量的代数几何提案"
gemini-5,local,HIBS,markdown,5.md,../HIBS/gemini/5.md,compiled,docs/wiki/theory-hidden-space-physics.md,"扭量/旋量、Maxwell/Dirac 与质量生成提案"
gemini-6,local,HIBS,markdown,6.md,../HIBS/gemini/6.md,compiled,docs/wiki/theory-hidden-space-physics.md,"离散因果图、能量动量与连续极限提案"
gemini-7,local,HIBS,markdown,7.md,../HIBS/gemini/7.md,compiled,docs/wiki/theory-hidden-space-physics.md,"空间流动、物质生成与统一物理提案"
gemini-2,local,HIBS,markdown,Gemini2.md,../HIBS/gemini/Gemini2.md,compiled,docs/wiki/theory-hidden-space-physics.md,"HIBS 结构与物理化方向"
gemini-main,local,HIBS,markdown,gemini.md,../HIBS/gemini/gemini.md,compiled,docs/wiki/theory-hidden-space-physics.md,"HIBS 评析、不可逆乘法与空间/信息/物质统一讨论"
session-20260814-helix,local,ProjectionPhysics,artifact,helix_3d.png,../artifacts/entanglement/helix_3d.png,generated,docs/wiki/theory-entanglement-helix.md,双螺旋纠缠3D静态图(脚本scripts/entanglement_helix_3d.py生成)
session-20260814-helix,local,ProjectionPhysics,artifact,helix_3d.gif,../artifacts/entanglement/helix_3d.gif,generated,docs/wiki/theory-entanglement-helix.md,"双螺旋纠缠3D动画(96帧,相位随流动前进+脉冲传播)"
session-20260814-helix,local,ProjectionPhysics,artifact,fig_e_delta.png,../artifacts/entanglement/fig_e_delta.png,generated,docs/wiki/theory-entanglement-helix.md,E(Δ)关联曲线:螺旋线性vs量子cos
session-20260814-helix,local,ProjectionPhysics,artifact,fig_chsh.png,../artifacts/entanglement/fig_chsh.png,generated,docs/wiki/theory-entanglement-helix.md,CHSH柱状图:2 vs 2.828 vs 实验2.697
session-20260814-helix,local,ProjectionPhysics,artifact,fig_flow_rotation.png,../artifacts/entanglement/fig_flow_rotation.png,generated,docs/wiki/theory-entanglement-helix.md,流旋转不变性扫描
session-20260814-helix,local,ProjectionPhysics,artifact,fig_heatmap.png,../artifacts/entanglement/fig_heatmap.png,generated,docs/wiki/theory-entanglement-helix.md,E差值热图
session-20260814-helix,local,ProjectionPhysics,artifact,report.json,../artifacts/entanglement/report.json,generated,docs/wiki/theory-entanglement-helix.md,贝尔检验结构化报告JSON
session-20260814-helix,local,ProjectionPhysics,artifact,report.md,../artifacts/entanglement/report.md,generated,docs/wiki/theory-entanglement-helix.md,贝尔检验报告MD
session-20260814-bhwh,local,ProjectionPhysics,artifact,fig_flow_structures.png,../artifacts/blackhole/fig_flow_structures.png,generated,docs/wiki/theory-blackhole-wormhole.md,黑洞vs虫洞流场对比(单调过c vs 峰值<c)
session-20260814-bhwh,local,ProjectionPhysics,artifact,fig_photon_freeze.png,../artifacts/blackhole/fig_photon_freeze.png,generated,docs/wiki/theory-blackhole-wormhole.md,黑洞光锥:向外光子视界处冻结
session-20260814-bhwh,local,ProjectionPhysics,artifact,fig_time_dilation.png,../artifacts/blackhole/fig_time_dilation.png,generated,docs/wiki/theory-blackhole-wormhole.md,时间膨胀√(1−r_s/r)在视界归零
session-20260814-bhwh,local,ProjectionPhysics,artifact,blackhole_3d.png,../artifacts/blackhole/blackhole_3d.png,generated,docs/wiki/theory-blackhole-wormhole.md,黑洞3D:内向流动漏斗+视界球+光子轨迹
session-20260814-bhwh,local,ProjectionPhysics,artifact,wormhole_3d.png,../artifacts/blackhole/wormhole_3d.png,generated,docs/wiki/theory-blackhole-wormhole.md,虫洞3D:双漏斗嵌入+喉部+流线
session-20260814-bhwh,local,ProjectionPhysics,artifact,wormhole_traverse.gif,../artifacts/blackhole/wormhole_traverse.gif,generated,docs/wiki/theory-blackhole-wormhole.md,光子穿越虫洞动画(dτ=0全程)
session-20260814-bhwh,local,ProjectionPhysics,artifact,report.json,../artifacts/blackhole/report.json,generated,docs/wiki/theory-blackhole-wormhole.md,黑洞虫洞数值验证报告JSON
session-20260814-bhwh,local,ProjectionPhysics,artifact,report.md,../artifacts/blackhole/report.md,generated,docs/wiki/theory-blackhole-wormhole.md,黑洞虫洞数值验证报告MD
session-20260814-maxwell,local,ProjectionPhysics,artifact,fig_wavepacket.png,../artifacts/maxwell/fig_wavepacket.png,generated,docs/wiki/theory-maxwell-flow.md,基础麦克斯韦波包(leapfrog FDTD v=1.000c)
session-20260814-maxwell,local,ProjectionPhysics,artifact,fig_blackhole_flow.png,../artifacts/maxwell/fig_blackhole_flow.png,generated,docs/wiki/theory-maxwell-flow.md,|C|=c流场黑洞(流线入奇点)
session-20260814-maxwell,local,ProjectionPhysics,artifact,fig_redshift.png,../artifacts/maxwell/fig_redshift.png,generated,docs/wiki/theory-maxwell-flow.md,预言P2引力红移(流场vs GR弱场)
